Timeslot,1st speaker name,1st speaker handle,2nd speaker name,2nd speaker handle,3rd speaker name,3rd speaker handle,4th speaker name,4th speaker handle,talk id,Linked Sessions,Conference Events,Title,Description,Location,Session Type,Type,Start,End,Location Description,Track
"March 28, 2026 08:30 AM - 09:00 AM",,,,,,,,,,,Doors Open Day 3,Doors Open Day 3,Doors Open Day 3,,,,"March 28th, 2026 8:30am","March 28th, 2026 9:00am",,
"March 28, 2026 08:30 AM - 10:30 AM",,,,,,,,,,,Breakfast Day 3,Breakfast Day 3,,,,Food,"March 28th, 2026 8:30am","March 28th, 2026 10:30am",,
"March 28, 2026 09:00 AM - 09:15 AM",,,,,,,,,,,Opening Remarks Day 3,Opening Remarks Day 3,Opening Remarks Day 3,Great Hall South,,,"March 28th, 2026 9:00am","March 28th, 2026 9:15am",Main Theater,
"March 28, 2026 09:15 AM - 10:00 AM",@kissane.myatproto.social,Erin Kissane,,,,,,,gDELD0M,Landslide,Keynote Day 3,Landslide,Keynote Day 3,Great Hall South,Presentation,,"March 28th, 2026 9:15am","March 28th, 2026 10:00am",Main Theater,Media and Civics
"March 28, 2026 10:00 AM - 10:30 AM",@rude1.blacksky.team,Rudy Fraser,,,,,,,QK9Ae6Y,Groundings with my Siblings: Lessons Learned Building for Community,Day 3 Slot 1 a,Groundings with my Siblings: Lessons Learned Building for Community,"I had the privilege of discussing Blacksky and AT Protocol at several different college campuses, conference venues and other settings along with webinars and doing user research. I plan to share those learnings to help others build better products and how we particularly plan to incorporate those learnings from both a product and operations standpoint.",Great Hall South,Presentation,Session,"March 28th, 2026 10:00am","March 28th, 2026 10:30am",Main Theater,Development and Protocol
"March 28, 2026 10:30 AM - 11:00 AM",@brittanyellich.com,Brittany Ellich,,,,,,,obaP26x,Who owns the group chat? Building collaborative spaces on ATProto,Day 3 Slot 2 a,Who owns the group chat? Building collaborative spaces on ATProto,"Traditional social platforms centralize control of community spaces—the platform owns your group, your members, and your data. On ATProto, ownership, governance, and moderation become explicit design decisions. This talk explores building shared resources on a decentralized protocol—from data synchronization to governance models—drawing from real experience building community features and examples from other ATProto apps.",Great Hall South,Presentation,Session,"March 28th, 2026 10:30am","March 28th, 2026 11:00am",Main Theater,Development and Protocol
"March 28, 2026 11:00 AM - 11:30 AM",@laurenshof.online,Laurens Hof,,,,,,,ODxNLMM,Who talks to whom? Coordination gaps in decentralised infrastructure,Day 3 Slot 3 a,Who talks to whom? Coordination gaps in decentralised infrastructure,"ATProto aspires to power significant social networking infrastructure, but how its layered components (relays, labelers, AppViews, PDSes) should coordinate remains unclear. When a PDS provider bans an account, are there situations when other PDS providers should be notified? What happens when two AppViews make conflicting moderation decisions about the same content? This talk works through the practical coordination problems at each layer of the stack, draws on parallel situations from the fediverse, and proposes where the ecosystem needs to start building shared norms and documentation.",Great Hall South,Presentation,Session,"March 28th, 2026 11:00am","March 28th, 2026 11:30am",Main Theater,Media and Civics
"March 28, 2026 11:30 AM - 12:00 PM",@bad-example.com,fig,,,,,,,7Rrv0E0,Beyond Bluesky: Community infrastructure,Day 3 Slot 4 a,Beyond Bluesky: Community infrastructure,"Bluesky, a VC-backed company, runs public infrastructure that's widely depended upon by ATProto builders.

Microcosm, a set of community-funded open-source infra, supports dozens of ATProto projects and growing.

I'll dive into AT-protocol-specific economics of operating and scaling public infrastructure, and look ahead at how we get to a sustainable and diverse infra future. All grounded in the day-to-day reality of actually running big indexes, caches, relays, jetstreams, a PLC mirror, ...",Great Hall South,Presentation,Session,"March 28th, 2026 11:30am","March 28th, 2026 12:00pm",Main Theater,Development and Protocol
"March 28, 2026 12:00 PM - 01:30 PM",,,,,,,,,,,Lunch Day 3,Lunch Day 3,Lunch Day 3,Great Hall North,,Food,"March 28th, 2026 12:00pm","March 28th, 2026 1:30pm",Location for Breakfast,
"March 28, 2026 01:30 PM - 02:00 PM",pfrazee.com,Paul Frazee,,,,,,,aQ1J9GE,2026 Atmosphere Report,Day 3 Slot 5 a,2026 Atmosphere Report,"Paul Frazee, CTO of Bluesky, gives a report on the Atmosphere from Bluesky's point of view. New standards efforts, new protocol features, new developer tools and APIs - this year has it all. Paul will share what's going on, what Bluesky is working on, and why 2026 is going to be a great year for the Atmosphere.",Great Hall South,Presentation,Session,"March 28th, 2026 1:30pm","March 28th, 2026 2:00pm",Main Theater,Development and Protocol
"March 28, 2026 02:00 PM - 02:30 PM",pfrazee.com,Paul Frazee,,,,,,,aQ1J9GE,2026 Atmosphere Report,Day 3 Slot 6 a,2026 Atmosphere Report,"Paul Frazee, CTO of Bluesky, gives a report on the Atmosphere from Bluesky's point of view. New standards efforts, new protocol features, new developer tools and APIs - this year has it all. Paul will share what's going on, what Bluesky is working on, and why 2026 is going to be a great year for the Atmosphere.",Great Hall South,Presentation,Session,"March 28th, 2026 2:00pm","March 28th, 2026 2:30pm",Main Theater,Development and Protocol
"March 28, 2026 02:30 PM - 03:00 PM",@eliot.sh,Eliot Hertenstein,Paul Frazee,pfrazee.com,Eli Mallon,@iame.li,Reed Harmeyer,reedharmeyer.bsky.social,Y561Qv6,From protocol to product: How Expo powers the next wave of AT Proto applications,Day 3 Slot 7 a,From protocol to product: How Expo powers the next wave of AT Proto applications,"What does it actually take to build and ship an AT Proto app? This panel features developers who have done exactly that using Expo. We'll cover the full journey: authentication and OAuth, working with decentralized identity, deploying to app stores, and scaling to real users. Whether you're exploring AT Proto for the first time or ready to start building, you'll walk away with practical insights from people who've shipped.",Great Hall South,Discussion / Panel,Session,"March 28th, 2026 2:30pm","March 28th, 2026 3:00pm",Main Theater,Development and Protocol
"March 28, 2026 03:00 PM - 03:30 PM",@tessa.germnetwork.com,Tessa Brown,,,,,,,LZxV6dv,Consent Before Cryptography,Day 3 Slot 8 a,Consent Before Cryptography,"In this talk, Germ Network co-founder Tessa Brown asks us to center consent in our ongoing conversations about privacy, agency, and self-determination. She describes how Germ is built for consenting connections and shares the team’s learnings from integrating atproto handles into their end-to-end encrypted messenger. As we all onboard users familiar with centralized social media paradigms into the Atmosphere, Tessa reflects on the UX design choices Germ made to help users understand what they consent to when they bring their atproto identities into Germ.",Great Hall South,Presentation,Session,"March 28th, 2026 3:00pm","March 28th, 2026 3:30pm",Main Theater,Community
"March 28, 2026 03:30 PM - 04:00 PM",,,,,,,,,,,Day 3 Coffee Break,Day 3 Coffee Break,Day 3 Coffee Break,,,Food,"March 28th, 2026 3:30pm","March 28th, 2026 4:00pm",,
"March 28, 2026 04:10 PM - 04:20 PM",ronentk.me,Ronen Tamari,,,,,,,OD6Gd0A,Semble: Rediscovering the Magic of Trails,Day 3 Lightning talk a 2,Semble: Rediscovering the Magic of Trails,"Attendees will discover how ATProto can power more than microblogging—it can become the foundation for a new kind of collective intelligence. We'll explore Cosmik's vision for social knowledge networks where insights don't vanish into algorithmic feeds but become discoverable, interconnected building blocks owned by the people who create them. Through a quick demo of Semble, our knowledge-sharing tool for the Atmosphere, developers will see practical patterns for building apps that leverage ATProto's interoperability to create experiences feeds were never designed for—turning passive scrolling into active sensemaking.",Great Hall South,Lightning Talk,Session,"March 28th, 2026 4:10pm","March 28th, 2026 4:20pm",Main Theater,Media and Civics
"March 28, 2026 04:00 PM - 04:10 PM",@quillmatiq.com,Anuj Ahooja,,,,,,,81gXlXP,State of the Multi-Protocol Social Web (name will change),Day 3 Lightning talk a 1,State of the Multi-Protocol Social Web (name will change),"A breakdown of improvements in multi-protocol services, including Bridgy Fed and Bounce, and where those services are going in 2026. Some things include:

1. Direct integrations with platforms + client tools
2. Moderation improvements
3. Working with other multi-protocol services
4. Major updates coming to Bridgy Fed",Great Hall South,Lightning Talk,Session,"March 28th, 2026 4:00pm","March 28th, 2026 4:10pm",Main Theater,Development and Protocol
"March 28, 2026 04:10 PM - 04:20 PM",@stephanjnoel.bsky.social,Stephan Noel,,,,,,,2EGLPML,Burning down data walls in the US Fire Service and Beyond,Day 3 Lightning talk b 2,Burning down data walls in the US Fire Service and Beyond,"My team at FSRI recently overhauled how all firefighters in the US report data with NERIS (https://neris.fsri.org/faqs).  I want to share insights I gained into how centralization and the resulting enshittification has played out in fire software and how NERIS hasn’t fully solved the problem.  I’d like to encourage more people to build fire (and other niche) software and create an open ecosystem of interoperable tools where fire department data ownership is at its heart and outline some opportunities and resources.
If time permits I may very quickly reference similar initiatives like FHIR and open banking.",Performance Theater,Lightning Talk,Session,"March 28th, 2026 4:10pm","March 28th, 2026 4:20pm",,Community
"March 28, 2026 04:10 PM - 04:20 PM",@billwpierce.co,Billy Pierce,,,,,,,QKZoLBX,"How (de)centralized is Bluesky, really?",Day 3 Lightning talk c 2,"How (de)centralized is Bluesky, really?","In this presentation, I will discuss a working paper on the functional (de)centralization of Bluesky. This includes the extent to which AT Protocol infrastructure is owned and operated by entities other than Bluesky Social (through a computational mapping of ownership of PDS endpoints), the implications this (de)centralization has for Bluesky Social's goals, and what might be done. Following the presentation of quantitative results and associated theory, there will be time for a Q&A and discussion. Looking forward to hearing from attendees about efforts to further decentralize AT Protocol infrastructure!",Room 2301,Lightning Talk,Session,"March 28th, 2026 4:10pm","March 28th, 2026 4:20pm",,Media and Civics
"March 28, 2026 04:20 PM - 04:30 PM",@buildwithtori.com,Victoria White,,,,,,,2EG4YMj,"What 350,000 users taught me about growing on Open Social",Day 3 Lightning talk a 3,"What 350,000 users taught me about growing on Open Social","In nine months, we grew Skylight Social from zero to over 350,000 downloads. This lightning talk distills the most important lessons from that journey; how to message open social to a broader audience, how to read user behavior over user requests, and which tools and collaborations actually scaled. It’s a practical look at what worked, what didn’t, and what I’d do again if I were starting today.",Great Hall South,Lightning Talk,Session,"March 28th, 2026 4:20pm","March 28th, 2026 4:30pm",Main Theater,Community
"March 28, 2026 04:20 PM - 04:30 PM",@hypha.coop,Hypha Coop,,,,,,,7Rr2zW6,Pollen: Prototyping a toolkit for journalists and researchers to restore source transparency in an AI-saturated feed,Day 3 Lightning talk b 3,Pollen: Prototyping a toolkit for journalists and researchers to restore source transparency in an AI-saturated feed,"Pollen is a technical prototype by Hypha that enables journalists and researchers to anchor authenticated claims, such as photographer attribution and trusted timestamps, directly to their Personal Data Server. By attending this session, media professionals will learn how authenticated claims can protect the integrity of their reporting against generative AI ""slop"" and how a shared provenance layer empowers the community to collectively maintain digital facticity.",Performance Theater,Lightning Talk,Session,"March 28th, 2026 4:20pm","March 28th, 2026 4:30pm",,Media and Civics
"March 28, 2026 04:20 PM - 04:30 PM",jennie-gander.bsky.social,Jennifer Mitchell,,,,,,,Bzr448Q,Why Gander Social?,Day 3 Lightning talk c 3,Why Gander Social?,A lightening talk showcasing Gander Social. Why we exist and how we interoperate.,Room 2301,Lightning Talk,Session,"March 28th, 2026 4:20pm","March 28th, 2026 4:30pm",,Development and Protocol
"March 28, 2026 04:30 PM - 05:00 PM",@chadfowler.com,Chad Fowler,,,,,,,OD2G9j8,The Phoenix Architecture,Day 3 Slot 10 a,The Phoenix Architecture,"Phoenix Architecture is a way of thinking about software in a world where implementations can be rewritten faster than they can be understood. As AI shifts the economics from maintenance to regeneration, the real architectural questions move upstream: what must remain stable, what can safely change, and what breaks humans when it breaks at all. This talk offers a set of lenses (not answers) for reasoning about durability, trust, and coherence in long-lived systems. Attendees should leave with new instincts, sharper questions, and a sense that some of our deepest assumptions about software may need to be revisited.",Great Hall South,Presentation,Session,"March 28th, 2026 4:30pm","March 28th, 2026 5:00pm",Main Theater,Development and Protocol
"March 28, 2026 05:00 PM - 05:30 PM",blaine.bsky.social,Blaine Cook,,,,,,,rj8Xv62,This Title Left Intentionally Blank,Day 3 Slot 11 a,This Title Left Intentionally Blank,"Just putting up the offer to host a talk, or do a panel, or whatever makes sense. I could imagine another ""how to think about this stuff"" style talk, or a panel discussion about small communities on atproto, or a talk about experiences building on atproto, or a talk about roundabout specifically (with the caveat that we're not on the public PLCs)",Great Hall South,Presentation,Session,"March 28th, 2026 5:00pm","March 28th, 2026 5:30pm",Main Theater,Media and Civics
"March 28, 2026 05:30 PM - 05:45 PM",,,,,,,,,,,Day 3 Closing Remarks,Day 3 Closing Remarks,,Great Hall South,,,"March 28th, 2026 5:30pm","March 28th, 2026 5:45pm",Main Theater,
"March 29, 2026 08:30 AM - 10:00 AM",,,,,,,,,,,Doors Open Day 4,Doors Open Day 4,Doors Open Day 4,,,,"March 29th, 2026 8:30am","March 29th, 2026 10:00am",,
"March 29, 2026 09:00 AM - 09:15 AM",,,,,,,,,,,Opening Remarks Day 4,Opening Remarks Day 4,Opening Remarks Day 4,Great Hall South,,,"March 29th, 2026 9:00am","March 29th, 2026 9:15am",Main Theater,
"March 29, 2026 09:15 AM - 10:00 AM",@zeu.dev,Zeu,,,,,,,MeWBzWX, A better NPM site is possible,Keynote Day 4, A better NPM site is possible,Keynote Day 4,Great Hall South,Presentation,,"March 29th, 2026 9:15am","March 29th, 2026 10:00am",Main Theater,Development and Protocol
"March 29, 2026 03:30 PM - 04:00 PM",,,,,,,,,,,Day 4 Coffee Break,Day 4 Coffee Break,Day 4 Coffee Break,,,Food,"March 29th, 2026 3:30pm","March 29th, 2026 4:00pm",,
"March 29, 2026 10:00 AM - 10:30 AM",lewis.moe,Lewis Torrington,,,,,,,VLgVWM6,tangled: The Lewis end,Day 4 Slot 1 a,tangled: The Lewis end,"Building a company on an open protocol is a different ballgame. In this talk I aim to cover why we decided to make Tangled a company, how we're financed, why we went this route, the challenges we faced and our plans for the future. ",Great Hall South,Presentation,Session,"March 29th, 2026 10:00am","March 29th, 2026 10:30am",Main Theater,Development and Protocol
"March 29, 2026 10:30 AM - 11:00 AM",devingaffney.com,Devin Gaffney,,,,,,,gDPMMa1,"One Year of Graze - lessons learned funding, building, and growing in the atmosphere",Day 4 Slot 2 a,"One Year of Graze - lessons learned funding, building, and growing in the atmosphere","I'll be sharing an abbreviated history of building Graze, our own product's theory of action and how it slots into our more broad theory of how the AT Protocol disrupts the existing social layer of the web. We'll move into successes and challenges with fundraising, what we learned during that process and what others should know. We'll wrap with our own theories on development in 2026, how we fully move beyond the ""skeuomorph"" era of ATProto.",Great Hall South,Presentation,Session,"March 29th, 2026 10:30am","March 29th, 2026 11:00am",Main Theater,Media and Civics
"March 29, 2026 11:00 AM - 11:30 AM",@case.bsky.social,Amber Case,,,,,,,ODqQQJA,Waiting for the Future to Load ,Day 4 Slot 3 a,Waiting for the Future to Load ,"The Future is not what you think. People trained on self driving cars or notions from the 1950s are ill-prepared to see what's actually growing behind the scenes, out of public view. It's not like anything on social media right now. It's in the cracks, almost imperceptible. 

Often it's the opposite of what's been said for years. We've stayed in this timeline for a long time. What will it take to get out of the 2010s? ",Great Hall South,Presentation,Session,"March 29th, 2026 11:00am","March 29th, 2026 11:30am",Main Theater,Media and Civics
"March 29, 2026 11:30 AM - 12:00 PM",@komorama.bsky.social,Alex Komoroske,Mike Masnick,@masnick.com,,,,,kdobWjj,A Fireside Chat on Resonant Computing: Why we wrote the manifesto and where we go from here,Day 4 Slot 4 a,A Fireside Chat on Resonant Computing: Why we wrote the manifesto and where we go from here,"Resonant Computing manifesto co-authors Mike Masnick (Bluesky board member, Techdirt) and Alex Komoroske (Common Tools) discuss why they felt compelled to articulate an alternative vision for computing—one that's private, plural, and prosocial. They'll explore what resonance actually means in practice, why the ATProto community is uniquely positioned to build this future, and talk about the infrastructure work to make it real.",Great Hall South,Discussion / Panel,Session,"March 29th, 2026 11:30am","March 29th, 2026 12:00pm",Main Theater,Community
"March 29, 2026 12:00 PM - 01:30 PM",,,,,,,,,,,Day 4 Lunch,Day 4 Lunch,Day 4 Lunch,,,Food,"March 29th, 2026 12:00pm","March 29th, 2026 1:30pm",,
"March 29, 2026 01:30 PM - 02:00 PM",danabra.mov,Dan Abramov,,,,,,,9q8ZX5Q,Social Components,Day 4 Slot 5 a,Social Components,"What if social products were remixable?Imagine you could take a social product and break it its user interface into pieces. Then imagine that you, or anyone else, could recombine those pieces in different ways, swap things out, composing and remixing experiences made and hosted by different people.We already know a way to compose UI: Components. However, we didn't have a way to compose components across products. Atmosphere gives us that way: lexicons define component contracts, records point at the endpoints, everyone uses the same data.So let's put components on the protocol! In this talk, Dan will present Inlay—an experimental browser for remixable cross-product server-driven user interfaces on the Atmosphere. You can think of it as ""React for atproto"" or like ""HyperCard for social"".Whether it's a terrible idea or a glimpse of a post-app future remains to be seen.---(Demo teaser: https://bsky.app/profile/did:plc:fpruhuo22xkm5o7ttr2ktxdo/post/3mdjhy2bofk2h)",Great Hall South,Presentation,Session,"March 29th, 2026 1:30pm","March 29th, 2026 2:00pm",Main Theater,Development and Protocol
"March 29, 2026 02:00 PM - 02:30 PM",@darrin.bsky.team,Darrin Loeliger,,,,,,,GxEe0Vz,Designing for the social web,Day 4 Slot 6 a,Designing for the social web,A panel with prominent designers/builders from the community to talk about design. My colleague Jim Ray told me there are other designers interested in doing a panel. I'm open to any format that would be interesting to this community.,Great Hall South,Discussion / Panel,Session,"March 29th, 2026 2:00pm","March 29th, 2026 2:30pm",Main Theater,Community
"March 29, 2026 02:30 PM - 03:00 PM",@trezy.codes,Trezy Who,,,,,,,xXWE9Dv,Data Sovereignty for Games (and Everything Else): Building Decentralized Industry Infrastructure on ATProto,Day 4 Slot 7 a,Data Sovereignty for Games (and Everything Else): Building Decentralized Industry Infrastructure on ATProto,"Game developers publish data across dozens of platforms they don't control... until payment processors or platform policies change the rules overnight. I'm building The Pentaract: both the lexicons and the management platform that let developers control their game data on ATProto, enabling true data sovereignty, player-owned achievements and saves, and decentralized modding systems. This talk breaks down how I'm using ATProto's distributed infrastructure to solve real industry problems, from scattered metadata to platform lock-in, and provides a blueprint for developers in any industry facing similar centralization challenges.",Great Hall South,Presentation,Session,"March 29th, 2026 2:30pm","March 29th, 2026 3:00pm",Main Theater,Development and Protocol
"March 29, 2026 03:00 PM - 03:30 PM",@dholms.at,Daniel Holmgren,,,,,,,rjQ96kl,Protocol Governance & Hard Decentralization,Day 4 Slot 8 a,Protocol Governance & Hard Decentralization,"AT is entering a critical phase of maturation and becoming truly multi-stakeholder infrastructure. This talk covers the concrete steps both Bluesky and the AT ecosystem are taking to achieve ""hard decentralization"": forming an IETF working group to standardize the protocol, establishing independent governance for PLC, and implementing the technical foundations that make decentralization real - more and larger PDSes, seamless account portability, full network sync, and more.
",Great Hall South,Presentation,Session,"March 29th, 2026 3:00pm","March 29th, 2026 3:30pm",Main Theater,Development and Protocol
